,SMILES,name
138,O=C(NC1CCN(C2CCOCC2)CC1)c1cnccn1,222339752
139,C[C@H](c1cccnc1)N1CCO[C@@H](CN(C)CC(N)=O)C1,282227104
140,CN1CC[C@@H]2OCCN(c3nccn4cnnc34)[C@H]2C1,284452274
141,CCCc1nnc(N2CCC[C@](O)(CO)CC2)o1,95371590
142,O=C(Cn1[nH]c2ccccc2c1=O)N1CCC[C@@H](CO)C1,97797340
143,CN1CCC[C@@]2(CCN(C(=O)c3ccnc(N)c3)C2)C1=O,91493293
144,CN(c1ccc(-c2ncnn2C)cc1)S(C)(=O)=O,91460758
145,O=C(Cc1cccnc1)N1CC[C@@H](N2C(=O)COC2=O)C1,238895172
146,CC(=O)N1CC[C@@H](NC(=O)c2cccc(O)c2)[C@H](O)C1,244898787
147,O=C1C[C@H](n2nnnc2-c2cccs2)[C@H]2CO[C@H]1O2,254291189
148,NC(=O)c1nc(CNC(=O)[C@H]2CCc3ccccc32)no1,534646618
149,O=C1CC[C@@H](NC2(C(=O)O)CC2)CCN1CC1CC1,534655889
150,CN(CCN1CCOCC1)C(=O)[C@@]1(C)CCCCO1,457514167
151,COCCCN1CC[C@@H](CNC(=O)c2n[nH]nc2C)C1,299773760
152,CN(C)CCN1C(=O)CC[C@@H]1CCNC(=O)c1cn[nH]c1,299793376
153,Cn1ncnc1CCNC(=O)CCCc1cn[nH]c1,584902937
154,CCOC(=O)N1CC[C@@H](NCCc2ncnn2C)C1,584884960
155,O=c1c2ncccc2ncn1CCN1CCOCC1,584896386
156,CCCOC[C@H]1CCN(C(=O)CCn2cncn2)C1,584892643
157,COC(C)(C)C(=O)N1CCN([C@H]2CN3CCC2CC3)CC1,584892533
158,O=C1NC2(CCOCC2)C(=O)N[C@@H]1Cc1ccc(O)cc1,670462527
159,CCc1nnc(CN(C)S(=O)(=O)c2cnn(CC)c2)o1,670465144
160,Cc1ccc(NCC(=O)N(C)C)cc1-n1cnnn1,44914045
161,NS(=O)(=O)C[C@@H]1CCCCN1Cc1ccco1,888096161
162,CNC(=O)CN1CCC(NC(=O)Nc2nccs2)CC1,65407780
163,NC(=O)Cn1cc(NC(=O)N2CCCCCC2)cn1,65427300
164,OC[C@H](O)CSc1nnc(NC[C@H]2CCCO2)s1,65608668
165,Cc1cc(C(=O)NC2CCN(CCC(=O)O)CC2)no1,69520624
